@relation 'features-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5'

@attribute x numeric
@attribute y numeric
@attribute d numeric
@attribute ang numeric
@attribute class numeric

@data
9,64,25,90,2
9,89,3,90,2
9,92,1,90,2
9,93,25,90,2
9,118,8,90,2
9,126,62,-89,2
10,64,1,90,2
10,65,27,90,2
10,92,2,90,2
10,94,1,90,2
10,95,22,90,2
10,117,9,90,2
10,126,1,90,2
10,127,85,-89,2
11,42,52,90,2
11,94,32,90,2
11,126,2,-63,2
12,124,6,90,2
12,130,1,90,2
12,131,1,90,2
12,132,128,-89,2
13,4,57,90,2
13,61,69,90,2
13,130,2,90,2
13,132,72,-89,2
14,60,1,90,2
14,61,60,89,2
15,121,12,90,2
15,133,104,-89,2
16,29,92,90,2
16,121,19,-86,2
17,102,33,90,2
17,135,1,90,2
17,136,1,-45,2
18,135,10,84,2
19,145,1,90,2
19,146,36,-88,2
20,110,37,90,2
20,147,1,90,2
20,148,122,-89,2
21,26,53,90,2
21,79,46,90,2
21,125,23,90,2
21,148,136,-89,2
22,12,66,90,2
22,78,1,90,2
22,79,1,0,2
23,79,34,90,2
23,113,1,90,2
23,114,1,-45,2
24,113,112,-89,2
25,1,1,90,2
25,2,9,90,2
25,11,9,90,2
25,20,1,90,2
25,21,8,90,2
25,29,2,90,2
25,31,82,90,2
25,113,1,90,2
25,114,112,-89,2
26,2,19,90,2
26,21,83,90,2
26,104,9,90,2
26,113,112,-89,2
27,1,8,90,2
27,9,94,90,2
27,103,95,-89,2
28,8,1,90,2
28,9,14,90,2
28,23,1,90,2
28,24,79,90,2
28,103,1,90,2
28,104,81,-89,2
29,23,36,88,2
30,59,1,90,2
30,60,50,-88,2
31,10,48,90,2
31,58,2,90,2
31,60,50,-88,2
32,10,1,90,2
32,11,47,90,2
32,58,1,90,2
32,59,21,90,2
32,80,49,-88,2
33,31,48,90,2
33,79,1,90,2
33,80,38,90,2
33,118,88,-89,2
34,30,24,90,2
34,54,2,90,2
34,56,3,-71,2
35,53,1,90,2
35,54,1,90,2
35,55,66,90,2
35,121,1,90,2
35,122,68,-89,2
36,54,68,90,2
36,122,108,-89,2
37,14,11,-79,2
39,3,33,90,2
39,36,13,90,2
39,49,46,-88,2
40,3,1,90,2
40,4,1,-45,2
41,3,17,90,2
41,20,1,90,2
41,21,38,90,2
41,59,53,-88,2
42,6,15,90,2
42,21,37,90,2
42,58,52,-88,2
43,6,1,90,2
43,7,10,90,2
43,17,13,90,2
43,30,25,-87,2
44,5,25,90,2
44,30,5,-78,2
45,25,4,90,2
45,29,1,90,2
45,30,5,-78,2
46,25,1,90,2
46,26,28,90,2
46,54,30,-88,2
47,24,1,-45,2
48,23,1,90,2
48,24,25,90,2
48,49,24,-87,2
49,25,1,90,2
49,26,9,90,2
49,35,13,90,2
49,48,1,90,2
49,49,1,90,2
49,50,29,-88,2
50,21,4,90,2
50,25,2,90,2
50,27,2,90,2
50,29,20,90,2
50,49,9,90,2
50,58,2,90,2
50,60,34,-88,2
51,26,2,90,2
51,28,1,90,2
51,29,30,90,2
51,59,39,-88,2
52,20,8,90,2
52,28,17,90,2
52,45,38,-88,2
53,7,10,90,2
53,17,11,-84,2
54,6,12,90,2
54,18,4,90,2
54,22,1,90,2
54,23,16,-86,2
55,7,16,90,2
55,23,4,90,2
55,27,38,90,2
55,65,1,90,2
55,66,46,-88,2
56,20,2,90,2
56,22,1,90,2
56,23,1,90,2
56,24,2,90,2
56,26,1,90,2
56,27,25,90,2
56,52,2,90,2
56,54,10,90,2
56,64,2,90,2
56,66,46,-88,2
57,20,1,90,2
57,21,2,90,2
57,23,5,90,2
57,28,12,90,2
57,40,24,90,2
57,64,1,90,2
57,65,37,-88,2
58,28,1,90,2
58,29,7,90,2
58,36,1,90,2
58,37,109,90,2
58,146,128,-89,2
59,18,10,90,2
59,28,9,90,2
59,37,4,90,2
59,41,21,90,2
59,62,84,90,2
59,146,1,90,2
59,147,125,-89,2
60,22,14,90,2
60,36,5,90,2
60,41,17,90,2
60,58,76,90,2
60,134,1,90,2
60,135,10,90,2
60,145,1,90,2
60,146,126,-89,2
61,20,1,90,2
61,21,7,90,2
61,28,18,90,2
61,46,11,90,2
61,57,1,90,2
61,58,3,90,2
61,61,74,90,2
61,135,11,90,2
61,146,139,-89,2
62,7,1,90,2
62,8,12,90,2
62,20,4,90,2
62,24,1,90,2
62,25,2,90,2
62,27,2,90,2
62,29,16,90,2
62,45,1,90,2
62,46,76,90,2
62,122,22,90,2
62,144,136,-89,2
63,8,8,90,2
63,16,4,90,2
63,20,4,90,2
63,24,3,90,2
63,27,1,90,2
63,28,18,90,2
63,46,75,90,2
63,121,1,90,2
63,122,21,90,2
63,143,1,90,2
63,144,125,-89,2
64,19,2,90,2
64,21,6,90,2
64,27,95,90,2
64,122,104,-89,2
65,18,2,90,2
65,20,1,90,2
65,21,3,90,2
65,24,9,90,2
65,33,109,90,2
65,142,4,90,2
65,146,141,-89,2
66,5,16,90,2
66,21,21,90,2
66,42,88,90,2
66,130,11,90,2
66,141,1,90,2
66,142,137,-89,2
67,5,1,90,2
67,6,15,90,2
67,21,1,90,2
67,22,9,90,2
67,31,11,90,2
67,42,1,90,2
67,43,87,90,2
67,130,1,90,2
67,131,13,90,2
67,144,1,90,2
67,145,124,-89,2
68,21,11,90,2
68,32,1,90,2
68,33,6,90,2
68,39,1,90,2
68,40,2,90,2
68,42,103,90,2
68,145,124,-89,2
69,21,1,90,2
69,22,10,90,2
69,32,7,90,2
69,39,2,90,2
69,41,8,90,2
69,49,1,90,2
69,50,39,-88,2
70,11,28,90,2
70,39,1,90,2
70,40,10,90,2
70,50,40,-88,2
71,10,1,90,2
71,11,17,90,2
71,28,10,90,2
71,38,1,90,2
71,39,37,-88,2
72,2,1,90,2
72,3,8,90,2
72,11,17,90,2
72,28,1,90,2
72,29,10,90,2
72,39,8,90,2
72,47,54,90,2
72,101,1,90,2
72,102,99,-89,2
73,3,99,90,2
73,102,38,90,2
73,140,1,-45,2
74,139,1,90,2
74,140,1,90,2
74,141,139,-89,2
75,2,32,90,2
75,34,10,90,2
75,44,96,90,2
75,140,133,-89,2
76,7,27,90,2
76,34,1,90,2
76,35,51,90,2
76,86,78,-89,2
77,8,34,90,2
77,42,43,90,2
77,85,1,90,2
77,86,54,90,2
77,140,95,-89,2
78,45,41,90,2
78,86,14,90,2
78,100,39,90,2
78,139,95,-89,2
79,44,1,90,2
79,45,7,90,2
79,52,35,90,2
79,87,1,90,2
79,88,12,90,2
79,100,1,90,2
79,101,38,90,2
79,139,1,90,2
79,140,135,-89,2
80,5,18,90,2
80,23,22,90,2
80,45,14,90,2
80,59,28,90,2
80,87,2,90,2
80,89,21,90,2
80,110,13,90,2
80,123,16,90,2
80,139,133,-89,2
81,6,1,90,2
81,7,15,90,2
81,22,24,90,2
81,46,3,90,2
81,49,1,90,2
81,50,10,90,2
81,60,27,90,2
81,87,1,90,2
81,88,2,90,2
81,90,21,90,2
81,111,11,90,2
81,122,2,90,2
81,124,117,-89,2
82,7,15,90,2
82,22,1,90,2
82,23,24,90,2
82,47,3,90,2
82,50,10,90,2
82,60,1,90,2
82,61,4,90,2
82,65,22,90,2
82,87,23,90,2
82,110,1,90,2
82,111,1,90,2
82,112,9,90,2
82,121,1,90,2
82,122,118,-89,2
83,4,4,90,2
83,8,42,90,2
83,50,15,90,2
83,65,1,90,2
83,66,45,90,2
83,111,11,90,2
83,122,14,90,2
83,136,1,90,2
83,137,134,-89,2
84,3,1,90,2
84,4,3,90,2
84,7,1,90,2
84,8,13,90,2
84,21,23,90,2
84,44,6,90,2
84,50,1,90,2
84,51,13,90,2
84,64,5,90,2
84,69,1,90,2
84,70,56,90,2
84,126,9,90,2
84,135,1,90,2
84,136,131,-89,2
85,5,1,90,2
85,6,14,90,2
85,20,24,90,2
85,44,1,90,2
85,45,5,90,2
85,50,2,90,2
85,52,18,90,2
85,70,40,90,2
85,110,15,90,2
85,125,1,90,2
85,126,10,90,2
85,136,131,-89,2
86,5,5,90,2
86,10,1,90,2
86,11,9,90,2
86,20,1,90,2
86,21,8,90,2
86,29,1,90,2
86,30,2,90,2
86,32,2,90,2
86,34,10,90,2
86,44,5,90,2
86,49,2,90,2
86,51,6,90,2
86,57,13,90,2
86,70,40,90,2
86,110,1,90,2
86,111,12,90,2
86,123,1,90,2
86,124,2,90,2
86,126,9,90,2
86,135,1,90,2
86,136,126,-89,2
87,10,18,90,2
87,28,1,90,2
87,29,2,90,2
87,31,1,90,2
87,32,1,90,2
87,33,1,90,2
87,34,15,90,2
87,49,1,90,2
87,50,1,90,2
87,51,5,90,2
87,56,15,90,2
87,71,8,90,2
87,79,30,90,2
87,109,1,90,2
87,110,13,90,2
87,123,13,90,2
87,136,12,90,2
87,148,145,-89,2
88,3,1,90,2
88,4,28,90,2
88,32,19,90,2
88,51,5,90,2
88,56,14,90,2
88,70,1,90,2
88,71,7,90,2
88,78,2,90,2
88,80,30,90,2
88,110,107,-89,2
89,3,1,90,2
89,4,32,90,2
89,36,1,90,2
89,37,41,90,2
89,78,1,90,2
89,79,14,90,2
89,93,21,90,2
89,114,111,-89,2
90,3,34,90,2
90,37,40,90,2
90,77,2,90,2
90,79,46,90,2
90,125,22,90,2
90,147,1,90,2
90,148,144,-89,2
91,4,43,90,2
91,47,26,90,2
91,73,1,90,2
91,74,4,90,2
91,78,1,90,2
91,79,8,90,2
91,87,38,90,2
91,125,1,90,2
91,126,22,90,2
91,148,101,-89,2
92,47,1,90,2
92,48,25,90,2
92,73,15,90,2
92,88,1,90,2
92,89,7,90,2
92,96,49,-88,2
93,47,33,90,2
93,80,9,90,2
93,89,14,90,2
93,103,24,90,2
93,127,90,-89,2
94,37,10,90,2
94,47,17,90,2
94,64,8,90,2
94,72,8,90,2
94,80,1,90,2
94,81,19,90,2
94,100,22,90,2
94,122,4,90,2
94,126,1,90,2
94,127,2,90,2
94,129,107,-89,2
95,22,1,90,2
95,23,14,90,2
95,37,1,90,2
95,38,11,90,2
95,49,15,90,2
95,64,1,90,2
95,65,15,90,2
95,80,2,90,2
95,82,43,90,2
95,125,2,90,2
95,127,1,90,2
95,128,109,-89,2
96,19,1,90,2
96,20,1,90,2
96,21,2,90,2
96,23,17,90,2
96,40,24,90,2
96,64,17,90,2
96,81,1,90,2
96,82,1,90,2
96,83,64,-89,2
97,19,3,90,2
97,22,1,90,2
97,23,58,90,2
97,81,1,90,2
97,82,59,-89,2
98,23,5,90,2
98,28,18,90,2
98,46,12,90,2
98,58,24,90,2
98,82,14,90,2
98,96,85,-89,2
99,11,17,90,2
99,28,1,90,2
99,29,9,90,2
99,38,9,90,2
99,47,11,90,2
99,58,37,90,2
99,95,1,90,2
99,96,85,-89,2
100,11,1,90,2
100,12,16,90,2
100,28,10,90,2
100,38,8,90,2
100,46,1,90,2
100,47,1,90,2
100,48,11,90,2
100,59,6,90,2
100,65,81,90,2
100,146,135,-89,2
101,11,9,90,2
101,20,1,90,2
101,21,8,90,2
101,29,10,90,2
101,39,8,90,2
101,47,10,90,2
101,57,1,90,2
101,58,7,90,2
101,65,1,90,2
101,66,69,90,2
101,135,2,90,2
101,137,8,90,2
101,145,1,90,2
101,146,134,-89,2
102,12,9,90,2
102,21,8,90,2
102,29,9,90,2
102,38,1,90,2
102,39,19,90,2
102,58,1,90,2
102,59,27,90,2
102,86,1,90,2
102,87,49,90,2
102,136,1,90,2
102,137,9,90,2
102,146,107,-89,2
103,39,19,90,2
103,58,3,90,2
103,61,76,90,2
103,137,2,90,2
103,139,6,90,2
103,145,116,-89,2
104,29,28,90,2
